city,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,property_type,accommodates,bathrooms,bedrooms,beds,price,price_per_person,high_availability,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_location,reviews_per_month,host_is_superhost,instant_bookable,calculated_host_listings_count,host_since,first_review,last_review
Valencia,EL CARME,CIUTAT VELLA,39.47837,-0.37671,Entire home/apt,Entire rental unit,4,1.0,2.0,3.0,100.0,25.0,False,7,10,77,219,4.87,4.99,1.51,True,False,1,2011-06-21,2013-10-16,2025-08-31
Valencia,LA GRAN VIA,L'EIXAMPLE,39.46449,-0.36583,Entire home/apt,Entire rental unit,4,2.0,2.0,3.0,115.0,28.75,True,11,730,305,247,4.77,4.91,1.68,False,False,1,2013-06-12,2013-08-30,2025-08-31
Valencia,LA RAIOSA,JESUS,39.45716,-0.38505,Entire home/apt,Entire rental unit,4,1.0,2.0,3.0,72.0,18.0,True,7,10,192,71,4.66,4.33,0.49,True,True,1,2012-10-10,2013-10-17,2025-08-27
Valencia,LA MALVA-ROSA,POBLATS MARITIMS,39.48014,-0.32582,Entire home/apt,Entire rental unit,4,2.0,2.0,3.0,145.0,36.25,True,11,730,310,330,4.78,4.69,2.24,True,False,7,2023-03-03,2013-08-15,2025-09-17
Valencia,EL CARME,CIUTAT VELLA,39.47973,-0.37538,Entire home/apt,Entire loft,4,1.0,1.0,1.0,141.0,35.25,False,4,1125,118,231,4.94,4.95,1.84,True,False,1,2013-08-16,2015-05-27,2025-09-04
Valencia,BENIMACLET,BENIMACLET,39.48643,-0.36135,Private room,Private room in rental unit,1,1.0,1.0,1.0,29.0,29.0,False,2,10,53,78,4.85,4.92,0.65,False,False,1,2013-08-20,2015-11-21,2025-09-19
Valencia,LA ROQUETA,EXTRAMURS,39.46665,-0.37949,Entire home/apt,Entire rental unit,7,2.0,3.0,6.0,120.0,17.14,True,3,300,193,188,4.44,4.74,1.3,False,False,3,2013-09-08,2013-11-11,2025-08-26
Valencia,CABANYAL-CANYAMELAR,POBLATS MARITIMS,39.46594,-0.3318,Entire home/apt,Entire rental unit,4,1.0,1.0,1.0,107.0,26.75,False,3,1125,127,119,4.42,4.57,0.85,False,True,5,2013-09-22,2014-03-18,2025-04-07
Valencia,CABANYAL-CANYAMELAR,POBLATS MARITIMS,39.46639,-0.33211,Entire home/apt,Entire rental unit,2,1.0,0.0,1.0,135.0,67.5,False,2,1125,115,26,4.73,4.65,0.19,False,True,4,2013-09-22,2014-06-27,2025-05-30
Valencia,CABANYAL-CANYAMELAR,POBLATS MARITIMS,39.470970153808594,-0.3310120105743408,Entire home/apt,Entire rental unit,5,1.0,2.0,4.0,109.0,21.8,False,1,10,142,190,4.57,4.59,1.35,False,False,2,2013-09-25,2014-03-17,2025-09-22
Valencia,RUSSAFA,L'EIXAMPLE,39.45926,-0.37637,Entire home/apt,Entire rental unit,5,1.5,3.0,4.0,132.0,26.4,True,30,365,270,57,4.6,4.82,0.4,False,False,4,2012-09-27,2014-01-02,2024-06-12
Valencia,CABANYAL-CANYAMELAR,POBLATS MARITIMS,39.46482,-0.32747,Entire home/apt,Entire home,7,2.0,3.0,7.0,300.0,42.86,True,2,1125,294,313,4.9,4.73,2.19,True,True,1,2013-10-22,2014-01-06,2025-09-21
Valencia,PENYA-ROJA,CAMINS AL GRAU,39.45848846435547,-0.3485839962959289,Entire home/apt,Entire rental unit,6,2.0,3.0,5.0,144.0,24.0,True,11,1125,344,83,4.86,4.94,1.17,False,False,1,2013-10-04,2019-12-02,2025-08-28
Valencia,LA XEREA,CIUTAT VELLA,39.47343,-0.37101,Entire home/apt,Entire rental unit,5,2.0,3.0,4.0,146.0,29.2,True,30,60,365,0,,,,False,False,1,2013-10-24,,
Valencia,RUSSAFA,L'EIXAMPLE,39.46304,-0.37031,Entire home/apt,Entire rental unit,5,1.0,3.0,4.0,125.0,25.0,False,28,330,0,50,4.76,4.92,0.37,False,True,12,2012-03-30,2014-08-03,2024-11-15
Valencia,CABANYAL-CANYAMELAR,POBLATS MARITIMS,39.46917,-0.33088,Private room,Private room in rental unit,3,1.0,1.0,2.0,65.0,21.67,False,3,150,77,77,4.55,4.72,0.55,True,False,2,2013-09-12,2014-03-17,2025-09-22
Valencia,LA XEREA,CIUTAT VELLA,39.47625,-0.37203,Entire home/apt,Entire loft,2,1.0,1.0,3.0,117.0,58.5,True,3,30,319,279,4.81,4.96,2.19,False,False,1,2013-11-21,2015-04-06,2025-09-23
Valencia,ARRANCAPINS,EXTRAMURS,39.46609,-0.38208,Entire home/apt,Entire rental unit,4,1.0,1.0,3.0,78.0,19.5,True,3,10,185,580,4.79,4.83,4.09,True,False,1,2013-11-06,2014-02-01,2025-09-08
Valencia,RUSSAFA,L'EIXAMPLE,39.46215,-0.37183,Private room,Private room in rental unit,2,1.0,1.0,2.0,36.0,18.0,True,3,365,323,127,4.62,4.79,0.91,True,False,2,2012-05-20,2014-03-17,2025-09-15
Valencia,NOU MOLES,L'OLIVERETA,39.47135,-0.40503,Private room,Private room in rental unit,2,1.0,1.0,1.0,44.0,22.0,False,28,120,140,59,4.8,4.64,0.42,False,False,1,2013-07-13,2014-03-17,2024-12-21
Valencia,LA GRAN VIA,L'EIXAMPLE,39.46807,-0.36511,Entire home/apt,Entire rental unit,4,2.0,2.0,3.0,121.0,30.25,False,4,11,34,302,4.74,4.93,2.15,False,False,1,2012-09-03,2014-03-17,2025-08-22
Valencia,ARRANCAPINS,EXTRAMURS,39.46673,-0.38829,Private room,Private room in rental unit,2,2.0,1.0,1.0,56.0,28.0,False,3,7,22,56,4.8,4.63,0.4,True,False,1,2012-04-09,2014-03-17,2025-09-18
Valencia,RUSSAFA,L'EIXAMPLE,39.46215,-0.37286,Private room,Private room in rental unit,2,1.0,1.0,2.0,40.0,20.0,True,3,365,331,162,4.54,4.83,1.15,True,False,2,2012-05-20,2014-03-17,2025-09-14
Valencia,LA SEU,CIUTAT VELLA,39.47636,-0.37638,Entire home/apt,Entire rental unit,3,1.0,2.0,2.0,112.0,37.33,True,3,10,220,259,4.68,4.91,1.85,True,False,1,2014-03-02,2014-03-18,2025-09-06
Valencia,BENIMAMET,POBLATS DE L'OEST,39.50489,-0.42584,Entire home/apt,Entire condo,4,2.0,2.0,4.0,150.0,37.5,False,2,30,50,125,4.92,4.7,0.89,True,False,1,2014-03-02,2014-03-23,2025-08-22
Valencia,CABANYAL-CANYAMELAR,POBLATS MARITIMS,39.46385,-0.33058,Private room,Private room in rental unit,2,1.0,1.0,1.0,31.0,15.5,False,1,1125,40,333,4.85,4.81,2.4,True,False,1,2014-03-10,2014-05-03,2025-09-17
Valencia,LA ROQUETA,EXTRAMURS,39.4682,-0.38089,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,172.0,86.0,True,7,20,190,39,4.69,4.69,0.29,False,False,1,2013-11-11,2014-07-01,2024-10-08
Valencia,LA MALVA-ROSA,POBLATS MARITIMS,39.48273,-0.32575,Entire home/apt,Entire rental unit,4,2.0,2.0,2.0,146.0,36.5,False,5,10,20,161,4.73,4.86,1.16,True,False,8,2011-07-07,2014-05-04,2025-09-05
Valencia,ARRANCAPINS,EXTRAMURS,39.461,-0.37965,Entire home/apt,Entire rental unit,3,1.0,1.0,1.0,134.0,44.67,False,2,120,97,310,4.58,4.66,2.23,False,True,4,2014-04-06,2014-04-22,2025-08-08
Valencia,EL SALER,POBLATS DEL SUD,39.3545,-0.32258,Entire home/apt,Entire rental unit,6,2.0,4.0,5.0,99.0,16.5,True,11,730,306,65,4.52,4.65,0.47,False,False,1,2014-04-13,2014-05-05,2025-06-30
Valencia,LA SEU,CIUTAT VELLA,39.47449,-0.37468,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,60.0,30.0,True,6,90,209,434,4.91,4.95,3.39,True,True,1,2014-04-18,2015-03-21,2025-09-21
Valencia,EL SALER,POBLATS DEL SUD,39.3843,-0.33355,Entire home/apt,Entire loft,2,1.0,1.0,1.0,183.0,91.5,True,2,1125,364,14,4.07,4.43,0.12,False,False,1,2014-05-12,2016-07-03,2018-07-29
Valencia,LA SEU,CIUTAT VELLA,39.4785,-0.37601,Entire home/apt,Entire condo,6,1.0,2.0,4.0,214.0,35.67,True,1,365,335,78,4.87,4.95,0.57,True,True,12,2012-08-04,2014-06-02,2025-09-07
Valencia,LA PETXINA,EXTRAMURS,39.47483,-0.38938,Entire home/apt,Entire rental unit,4,1.0,1.0,2.0,83.0,20.75,False,3,10,6,213,4.59,4.73,1.58,False,False,1,2012-05-17,2014-08-24,2025-09-05
Valencia,PENYA-ROJA,CAMINS AL GRAU,39.45797,-0.34537,Entire home/apt,Entire condo,6,2.0,2.0,4.0,120.0,20.0,False,3,365,113,41,4.73,4.83,0.32,True,False,2,2013-02-13,2015-03-23,2025-09-19
Valencia,NOU MOLES,L'OLIVERETA,39.46974,-0.39554,Entire home/apt,Entire rental unit,4,2.0,2.0,3.0,100.0,25.0,False,3,300,83,34,4.65,4.76,0.26,True,False,2,2013-02-13,2015-01-18,2025-08-26
Valencia,RUSSAFA,L'EIXAMPLE,39.46075,-0.3764,Private room,Private room in rental unit,2,1.0,1.0,1.0,42.0,21.0,True,10,1125,338,147,4.63,4.86,1.21,False,False,2,2013-05-22,2015-09-22,2025-09-01
Valencia,CABANYAL-CANYAMELAR,POBLATS MARITIMS,39.46514,-0.33204,Entire home/apt,Entire loft,4,2.0,2.0,4.0,125.0,31.25,False,14,90,81,4,4.25,4.75,0.03,False,False,1,2013-05-07,2016-03-30,2024-12-02
Valencia,LA MALVA-ROSA,POBLATS MARITIMS,39.48301,-0.3269,Entire home/apt,Entire rental unit,4,2.0,2.0,3.0,95.0,23.75,False,3,1125,108,109,4.69,4.71,0.8,True,False,1,2014-06-13,2014-07-22,2025-09-13
Valencia,EL PILAR,CIUTAT VELLA,39.47493,-0.38381,Entire home/apt,Entire rental unit,4,2.0,2.0,2.0,180.0,45.0,True,3,1125,196,137,4.69,4.76,1.02,False,False,1,2024-02-08,2014-09-14,2025-08-25
Valencia,EL MERCAT,CIUTAT VELLA,39.47224,-0.37941,Entire home/apt,Entire rental unit,3,1.0,1.0,2.0,96.0,32.0,True,27,1125,227,74,4.93,4.96,0.79,True,False,2,2011-02-01,2018-01-05,2025-07-26
Valencia,LA MALVA-ROSA,POBLATS MARITIMS,39.48222,-0.32754,Entire home/apt,Entire rental unit,2,1.0,1.0,2.0,100.0,50.0,True,30,330,217,22,4.86,4.64,0.16,True,False,1,2014-06-30,2014-10-06,2025-08-31
Valencia,LA ROQUETA,EXTRAMURS,39.46761,-0.38021,Entire home/apt,Entire rental unit,4,1.0,1.0,2.0,81.0,20.25,True,3,10,191,429,4.9,4.94,4.43,True,True,5,2014-07-01,2017-10-15,2025-09-07
Valencia,ARRANCAPINS,EXTRAMURS,39.46854,-0.38735,Entire home/apt,Entire condo,6,1.0,3.0,3.0,154.0,25.67,False,4,10,115,236,4.59,4.77,1.73,False,True,1,2012-08-13,2014-07-20,2025-04-06
