city,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,property_type,accommodates,bathrooms,bedrooms,beds,price,price_per_person,high_availability,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_location,reviews_per_month,host_is_superhost,instant_bookable,calculated_host_listings_count,host_since,first_review,last_review
Madrid,Embajadores,Centro,40.40979928454625,-3.706973109105242,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,106.0,53.0,True,3,365,242,19,4.42,4.79,2.6,False,True,1,2025-01-29,2025-02-09,2025-09-07
Madrid,Justicia,Centro,40.42119,-3.69603,Private room,Private room in rental unit,1,1.0,1.0,1.0,40.0,40.0,True,30,180,328,0,,,,False,False,215,2024-11-12,,
Madrid,Fuente del Berro,Salamanca,40.4255948,-3.6671828,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,55.0,27.5,True,31,364,258,0,,,,False,False,14,2024-10-18,,
Madrid,Justicia,Centro,40.41962,-3.6964,Private room,Private room in rental unit,1,1.0,1.0,1.0,35.0,35.0,True,30,180,330,0,,,,False,False,215,2024-11-12,,
Madrid,Justicia,Centro,40.42146607277333,-3.697632975025801,Private room,Private room in rental unit,1,1.0,1.0,1.0,30.0,30.0,True,30,180,335,0,,,,False,False,215,2024-11-12,,
Madrid,Justicia,Centro,40.42177181145819,-3.698039071325635,Private room,Private room in rental unit,1,1.0,1.0,1.0,22.0,22.0,True,30,180,237,0,,,,False,False,215,2024-11-12,,
Madrid,Justicia,Centro,40.42121224552777,-3.697779212632052,Private room,Private room in rental unit,1,1.0,1.0,1.0,35.0,35.0,True,30,180,267,0,,,,False,False,215,2024-11-12,,
Madrid,Justicia,Centro,40.42162995461639,-3.696078929728897,Private room,Private room in rental unit,1,1.0,1.0,1.0,46.0,46.0,True,30,180,274,0,,,,False,False,215,2024-11-12,,
Madrid,El Viso,Chamartín,40.45003917149472,-3.690619007966321,Private room,Private room in rental unit,1,2.5,1.0,1.0,30.0,30.0,True,30,180,309,0,,,,False,False,215,2024-11-12,,
Madrid,Sol,Centro,40.417233,-3.7060982,Private room,Room in hotel,2,1.0,1.0,1.0,143.0,71.5,True,1,365,274,1,5.0,4.0,0.2,False,True,5,2025-01-29,2025-04-18,2025-04-18
Madrid,Universidad,Centro,40.42201042802756,-3.702720237385192,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,87.0,43.5,False,2,90,40,8,4.63,5.0,1.1,False,True,1,2025-01-29,2025-02-10,2025-05-20
Madrid,Adelfas,Retiro,40.4029055,-3.6715391,Entire home/apt,Entire condo,4,1.0,1.0,2.0,81.0,20.25,False,2,7,90,39,4.59,4.74,6.22,False,False,2,2018-07-08,2025-03-11,2025-08-28
Madrid,Universidad,Centro,40.42414602049189,-3.710457313774084,Private room,Private room in rental unit,2,1.0,1.0,1.0,80.0,40.0,False,2,4,43,21,4.9,4.86,3.3,True,False,1,2023-07-26,2025-03-08,2025-07-06
Madrid,Universidad,Centro,40.42599579105477,-3.7063501030216375,Entire home/apt,Entire rental unit,5,2.0,3.0,3.0,334.0,66.8,False,1,1125,79,15,4.87,4.93,2.0,True,True,10,2024-12-22,2025-02-03,2025-09-01
Madrid,Embajadores,Centro,40.4089,-3.70043,Entire home/apt,Entire rental unit,2,1.0,0.0,1.0,180.0,90.0,False,1,1125,160,2,4.5,4.5,0.34,True,True,10,2024-12-22,2025-03-24,2025-07-06
Madrid,Embajadores,Centro,40.4060695,-3.7003383,Private room,Private room in rental unit,2,1.0,1.0,1.0,87.0,43.5,True,5,20,365,2,2.0,3.0,0.29,False,True,2,2015-10-21,2025-02-20,2025-03-02
Madrid,Almendrales,Usera,40.3851,-3.69952,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,90.0,45.0,True,20,330,224,3,5.0,4.67,0.52,False,False,107,2021-03-29,2025-03-27,2025-07-31
Madrid,Arapiles,Chamberí,40.43807,-3.70447,Entire home/apt,Entire rental unit,4,1.0,0.0,2.0,97.0,24.25,True,1,365,358,0,,,,False,False,12,2024-07-26,,
Madrid,Embajadores,Centro,40.4083387,-3.7023341,Private room,Private room in rental unit,1,1.0,1.0,1.0,100.0,100.0,True,100,365,364,0,,,,False,False,2,2024-06-07,,
Madrid,Abrantes,Carabanchel,40.38457337501037,-3.726719423353964,Entire home/apt,Entire home,4,1.0,2.0,3.0,87.0,21.75,True,1,365,336,11,4.73,4.82,1.76,True,True,1,2017-04-19,2025-03-11,2025-07-01
Madrid,Universidad,Centro,40.42456,-3.70402,Private room,Private room in home,2,3.0,1.0,1.0,52.0,26.0,True,1,365,257,1,5.0,5.0,0.15,False,False,1,2023-02-24,2025-02-22,2025-02-22
Madrid,Rejas,San Blas - Canillejas,40.44288,-3.58269,Entire home/apt,Entire rental unit,4,1.0,1.0,2.0,110.0,27.5,False,1,364,124,3,4.33,5.0,1.06,False,False,23,2022-09-26,2025-06-23,2025-09-07
Madrid,Rejas,San Blas - Canillejas,40.44484995247967,-3.5813806331923344,Entire home/apt,Entire rental unit,4,1.0,1.0,2.0,97.0,24.25,False,1,360,171,5,4.6,4.4,0.69,False,False,23,2022-09-26,2025-02-09,2025-08-28
Madrid,Adelfas,Retiro,40.40251274758479,-3.6726911938258224,Entire home/apt,Entire rental unit,4,1.0,1.0,2.0,93.0,23.25,False,2,7,88,15,4.33,4.47,2.25,False,False,1,2023-01-06,2025-02-27,2025-08-12
Madrid,Castellana,Salamanca,40.4365753,-3.681937399999999,Entire home/apt,Entire rental unit,4,1.0,1.0,1.0,80.0,20.0,True,31,364,294,2,5.0,5.0,0.55,False,False,14,2024-10-18,2025-05-28,2025-07-02
Madrid,Recoletos,Salamanca,40.4264578,-3.6818749,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,118.0,59.0,True,2,365,354,2,2.0,3.0,0.38,False,True,2,2022-10-19,2025-04-12,2025-06-03
Madrid,Portazgo,Puente de Vallecas,40.38489,-3.64946,Private room,Private room in rental unit,1,1.0,2.0,1.0,36.0,36.0,True,1,365,359,0,,,,False,False,1,2024-11-11,,
Madrid,Corralejos,Barajas,40.46714,-3.5878909,Entire home/apt,Entire home,6,2.0,3.0,6.0,100.0,16.67,True,1,365,192,59,4.93,4.92,8.81,True,True,3,2023-05-24,2025-02-26,2025-08-24
