city,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,property_type,accommodates,bathrooms,bedrooms,beds,price,price_per_person,high_availability,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_location,reviews_per_month,host_is_superhost,instant_bookable,calculated_host_listings_count,host_since,first_review,last_review
Sevilla,"Sector Sur, La Palmera, Reina Mercedes",Palmera - Bellavista,37.3666,-5.987769999999999,Entire home/apt,Entire rental unit,6,3.0,3.0,3.0,150.0,25.0,False,2,365,156,40,4.83,4.58,1.89,False,False,10,2023-07-27,2024-01-05,2025-09-03
Sevilla,Triana Casco Antiguo,Triana,37.38002,-5.99891,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,80.0,40.0,False,2,8,126,94,4.39,4.73,3.79,False,True,19,2016-01-26,2023-09-17,2025-07-05
Sevilla,San Gil,Casco Antiguo,37.4006227,-5.9877813,Entire home/apt,Entire rental unit,3,1.0,2.0,2.0,450.0,150.0,False,2,365,29,0,,,,False,True,50,2019-04-15,,
Sevilla,no asignado,Este - Alcosa - Torreblanca,37.40944200000001,-5.9341766,Entire home/apt,Entire loft,2,1.0,1.0,1.0,91.0,45.5,True,3,60,325,25,4.6,4.56,1.02,False,False,6,2016-11-22,2023-09-30,2025-08-28
Sevilla,Bellavista,Palmera - Bellavista,37.3248915,-5.9665166,Entire home/apt,Entire home,6,2.0,4.0,4.0,97.0,16.17,True,3,45,223,124,4.87,4.56,5.17,False,False,10,2023-07-27,2023-10-12,2025-09-28
Sevilla,Santa Catalina,Casco Antiguo,37.39393,-5.98519,Entire home/apt,Entire rental unit,8,2.0,3.0,5.0,146.0,18.25,True,1,365,341,33,5.0,4.91,1.27,False,True,10,2012-05-05,2023-08-11,2025-09-10
Sevilla,Alfalfa,Casco Antiguo,37.38986,-5.98918,Entire home/apt,Entire rental unit,4,1.0,1.0,2.0,156.0,39.0,False,2,365,98,62,4.89,5.0,2.57,True,True,6,2023-08-02,2023-10-09,2025-08-29
Sevilla,Alfalfa,Casco Antiguo,37.39109,-5.98986,Entire home/apt,Entire rental unit,4,1.0,1.0,2.0,147.0,36.75,False,2,365,77,40,4.98,5.0,1.66,True,True,6,2023-08-02,2023-10-08,2025-09-12
Sevilla,Alfalfa,Casco Antiguo,37.38903,-5.99143,Entire home/apt,Entire rental unit,4,1.0,1.0,2.0,150.0,37.5,False,2,365,92,117,4.97,5.0,4.81,True,True,6,2023-08-02,2023-10-02,2025-09-13
Sevilla,Alfalfa,Casco Antiguo,37.39113,-5.9894,Entire home/apt,Entire rental unit,4,1.0,1.0,2.0,152.0,38.0,False,2,365,107,47,4.98,5.0,1.93,True,True,6,2023-08-02,2023-10-02,2025-09-04
Sevilla,Alfalfa,Casco Antiguo,37.38971,-5.9919,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,124.0,62.0,False,2,365,93,28,4.86,5.0,1.15,True,True,6,2023-08-02,2023-10-03,2025-06-08
Sevilla,La Calzada,Nervión,37.390193951619615,-5.979509098489501,Entire home/apt,Entire rental unit,2,1.0,1.0,2.0,86.0,43.0,True,10,1125,297,19,5.0,4.74,0.9,True,False,1,2014-12-09,2024-01-05,2025-09-21
Sevilla,Alfalfa,Casco Antiguo,37.39133109496459,-5.989593391310872,Entire home/apt,Entire rental unit,4,1.0,1.0,2.0,152.0,38.0,False,2,365,93,66,4.97,5.0,2.7,True,True,6,2023-08-02,2023-09-30,2025-09-16
Sevilla,"Carretera de Carmona, María Auxiliadora, Fontanal",San Pablo - Santa Justa,37.39727,-5.98125,Entire home/apt,Entire rental unit,5,2.0,3.0,3.0,119.0,23.8,False,3,365,174,23,4.52,4.57,0.93,False,True,24,2011-07-24,2023-09-24,2025-06-19
Sevilla,Triana Casco Antiguo,Triana,37.3862762,-6.0059929,Private room,Private room in bed and breakfast,2,1.0,1.0,1.0,700.0,350.0,True,1,365,269,0,,,,False,False,2,2012-03-14,,
Sevilla,Triana Casco Antiguo,Triana,37.3862762,-6.0059929,Private room,Private room in bed and breakfast,2,1.0,1.0,1.0,2700.0,1350.0,True,1,365,269,0,,,,False,False,2,2012-03-14,,
Sevilla,San Lorenzo,Casco Antiguo,37.398318634879054,-5.999094056171854,Entire home/apt,Entire rental unit,4,1.0,2.0,3.0,154.0,38.5,False,1,365,65,44,4.41,4.61,1.77,False,True,19,2022-07-08,2023-09-18,2025-09-20
Sevilla,San Vicente,Casco Antiguo,37.3963977,-5.997303200000001,Entire home/apt,Entire rental unit,4,1.0,2.0,3.0,432.0,108.0,True,2,10,270,3,4.67,5.0,0.12,False,False,1,2016-02-29,2023-09-10,2024-05-19
Sevilla,Santa Cruz,Casco Antiguo,37.38551900717551,-5.989734368354209,Entire home/apt,Entire rental unit,4,1.0,1.0,1.0,114.0,28.5,True,2,30,240,11,4.0,4.64,0.88,False,True,48,2019-08-21,2024-09-19,2025-06-29
Sevilla,Feria,Casco Antiguo,37.3965181,-5.9887028,Entire home/apt,Entire rental unit,2,1.0,1.0,2.0,62.0,31.0,True,1,365,343,21,4.1,4.86,0.83,False,True,8,2018-03-17,2023-09-03,2025-09-14
